ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
トラクタショベル,Tractor shovel,tractor shovel,,,,挖掘机,,,,รถตัก,Máy xúc,ထရကတ် ာသရ ာ်ဗယ ် (Tractor shovel),,,Traktor shovel,,,,,,,,,ត្រាក់ទ័រឈូសែី,,,,,,,,,,,,,,8
ホイルローダ,Wheel loader,wheel loader,,,,轮式装载机,,,,รถตักลอ้ ยำง,Máy xúc lật bánh lốp,ကာ်းေ်း ခဖငသ်ဲ့ ာွ ်းသသာ ထရကတ် ာသရ ာ်ဗယက် ာ်း,,,Wheel Loader,,,,,,,,,រ ឡូ ូ កិនែី,,,,,,,,,,,,,,8
ダンプトラック,Dump truck,dump truck,,,,自动装卸卡车,,,,รถบรรทกุ เททำ้ ย,Xe tải tự đổ,သခမသက ာကသ် ယက် ာ်း (Dump truck),,,Truk jungkit,,,,,,,,,ត្រាក់ទ័រែឹកែី,,,,,,,,,,,,,,8
油圧ショベル,Hydraulic excavator,power shovel,,,,液压挖掘机,,,,รถขดุ ระบบไฮดรอลกิ,Máy đào thủy lực,ဟကှို ဒ် သရာလစ်သရ ာ်ဗယ ် (Hydraulic shovel),,,Eskavator hidrolik,,,,,,,,,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក,,,,,,,,,,,,,,8
バックホウ,Backhoe,backhoe,,,,反向铲,,,,รถแบคโฮ,Máy đào,ေကဟ် ်းှို,,,Serok belakang,,,,,,,,,ត្រាក់ទរកា័ យែី(គអសស្កា ),,,,,,,,,,,,,,8
ローディングショベル,Loading Excavator,loading shovel,,,,装载机铲斗,,,,รถขดุ ขนำดใหญ่,Máy đào gầu thuận,သခမသက ာကတ် ငဖ် ှိုရဲ့ ာတငွ သ် ်း ု သသာ ဟကှို ဒ် သရာလစ် သရ ာ်ဗယ ် (Loading shovel),,,Loading eksakavator,,,,,,,,,គត្រេឿងចត្រកចូកែី,,,,,,,,,,,,,,8
ローラ,Roller,roller,,,,压路机,,,,รถบดดนิ,Xe lu,တလမှိ ်ဲ့တ်း ု (ရုှိလာ),,,mesin giling,,,,,,,,,រ ឡូ ូ កិន,,,,,,,,,,,,,,8
バケット,Bucket,bucket,,,,铲斗,,,,บงุ้ ก๋ี,Gầu,သခမသက ာကသ် ယ ် ကွ ် (Bucket),,,bucket/serok,,,,,,,,,ដប៉ាលចូក,,,,,,,,,,,,,,8
ブーム,Boom,boom,,,,吊杆,,,,บมู,Cần chống,ကရှိန်း် ၊သရ ာ်ဗယက် ာ်း စသညတ် ၏ှို ဲ့ လကတ် အရင်း် ပှိုင်း် (Boom),,,boom/penopang,,,,,,,,,ែងសនទ ចូ,,,,,,,,,,,,,,8
アーム,Arm,arm,,,,起重臂,,,,อำรม์,Cần ngang,ကရှိန်း် ၊သရ ာ်ဗယက် ာ်း စသညတ် ၏ှို ဲ့ လကတ် အဖ ာ်းပှိုင်း် (Arm),,,lengan,,,,,,,,,ដែគលើក,,,,,,,,,,,,,,8
ブレード（排土板）,Blade (Soil removal plate),blade,,,,推土机刮板,,,,ใบมดี (ใบดันดนิ ),Lưỡi ủi (còn gọi là Tấm gạt đất),သခမတနွ ်း် သရ ွဲ့သည ်ဲ့ ေလတှိ ခ်ပာ်း,,,blade/sudu,,,,,,,,,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,,,,,,,,,,,,,,8
タイヤ,Tire,gulong,,,,轮胎,,,,ยำงรถ,Lốp xe,ေ်း ၊ တာယာ,,,mesin,,,,,,,,,សំបកកង់,,,,,,,,,,,,,,8
クローラ,Crawler,crawler,,,,履带,,,,ตนี ตะขำบ,Bánh xích,ယာဥ်၏ေ်း မ ာ်းကပှို တ၍် လမှိ ်ဲ့သသာ (သရာ်ော) ှိန်း် ါ်းပတခ်ပာ်း,,,mesin diesel,,,,,,,,,ត្រចវាក់,,,,,,,,,,,,,,8
キー（鍵）,Key,key (susi),,,,钥匙,,,,คยี ์ (กญุ แจ),Chìa khóa,သသာဲ့,,,minyak enjin,,,,,,,,,គស្ក,,,,,,,,,,,,,,8
作業装置 （アタッチメント）,Work equipment (Attachment),aparato sa paggawa (attachment),,,,作业装置（附属装置）,,,,สว่ นทที่ ำงำน(อปุ กรณ์),Phụ tùng,လပု ်ငန်း် သ်း ု တပ်ဆငစ် ရာ ကရှိ ှိယာ (Attachment),,,alternator(generator pengisi daya),,,,,,,,,ឧបករណ៏ការងារ (attachment),,,,,,,,,,,,,,8
エンジン,Engine,engine,,,,发动机,,,,เครอื่ งยนต์,Động cơ,အငဂ် ငစ် က်,,,baterai,,,,,,,,,ម៉ា សុីន,,,,,,,,,,,,,,8
ディーゼルエンジン,Diesel engine,diesel engine,,,,柴油发动机,,,,เครอื่ งยนตด์ เี ซล,Động cơ Diesel,ဒဇ ယအ် ငဂ် ငစ် က်,,,bahan bakar,,,,,,,,,ម៉ា សុីនគត្របើម៉ា សូ រ,,,,,,,,,,,,,,8
エンジンオイル,Engine oil,engine oil,,,,机油,,,,น ้ำมันเครอื่ ง,Dầu động cơ,အငဂ် ငဝ် ှိုင၊်အငဂ် ငဆ်,,,minyak diesel,,,,,,,,,គត្របងម៉ា សុីន,,,,,,,,,,,,,,8
オルタネータ （充電発電機）,Alternator (Rechargeable generator),alternator (charging generator),,,,交流发电机,,,,"อัลเทอรเ์ นเตอร,์ ไดชำรจ์ (เครอื่ งปั่นไฟและสำมำรถ ชำรจ์ ไฟเขำ้ แบตเตอร)ี่",Máy phát điện xoay chiều (Máy sạc và phát điện),ခပနလ် န လ် ျှပ်ထတု စ် က ် (သအာ်လတ် ာသနတာ),,,rem,,,,,,,,,ម៉ា សុីនស្កកថ្ម,,,,,,,,,,,,,,8
バッテリ,Battery,battery,,,,蓄电池,,,,แบตเตอรี่,Ắc quy,ေကထ် ရ အု်းှိ ၊ဓာတ ်,,,pompa oli hidrolik,,,,,,,,,អាេុយ,,,,,,,,,,,,,,8
燃料,Fuel,fuel,,,,燃料,,,,เชอื้ เพลงิ,Nhiên liệu,သလာငစ် ာဆ,,,silinder hidrolik,,,,,,,,,គត្របងឥណឌន:,,,,,,,,,,,,,,8
軽油,Light oil,gas oil,,,,汽油、轻油,,,,น ้ำมันดเี ซล,Dầu nhẹ,ဒဇ ယဆ်,,,motor hidrolik,,,,,,,,,គត្របងត្រស្កល(ម៉ា សូ រ),,,,,,,,,,,,,,8
ブレーキ,Brake,preno,,,,刹车,,,,เบรค,Phanh,ေရှိတ်,,,peralatan kerja,,,,,,,,,ត្រ្វ ំង,,,,,,,,,,,,,,8
油圧シリンダ,Hydraulic cylinder,hydraulic cylinder,,,,液压缸,,,,กระบอกสบู ไฮดรอลกิ,Xylanh thủy lực,ဟကှို ဒ် သရာလစ် ဆလငဒ် ါ,,,Silinder hidrolik,,,,,,,,,ស ៊ីឡាំងអ ៊ីដ្រលូ ិក,,,,,,,,,,,,,,8
油圧モータ,Hydraulic motor,hydraulic motor,,,,液压马达,,,,มอเตอรไ์ ฮดรอลกิ,Mô tơ thủy lực,ဟကှို ဒ် သရာလစ် သမာ်တာ,,,Motor hidrolik,,,,,,,,,ម៉ូ ទ័រអ ៊ីដ្រលូ ិក,,,,,,,,,,,,,,8
油圧ポンプ,Hydraulic pump,hydraulic pump,,,,液压泵,,,,ป๊ัมไฮดรอลกิ,Bơm thủy lực,ဟကှို ဒ် သရာလစ် ပန် ဲ့,,,Pompa oli hidrolik,,,,,,,,,សនប់ប៉ូមអ ៊ីដ្រលូ ិក,,,,,,,,,,,,,,8
水漏れ,Water leakage,tagas ng tubig,,,,漏水,,,,น ้ำรั่ว,Rò rỉ nước,သရယစှို ှိမ်ဲ့ခ င်း်,,,Kebocoran air,,,,,,,,,លលចធ្លា យទឹក,,,,,,,,,,,,,,8
油漏れ,Oil leak,tagas ng langis,,,,漏油,,,,น ้ำมันรั่ว,Rò rỉ dầu,ဆယ စှို ှိမ်ဲ့ခ င်း်,,,Kebocoran minyak,,,,,,,,,លលចធ្លា យលដ្បង,,,,,,,,,,,,,,8
冷却水,Cooling water,coolant,,,,冷却水,,,,น ้ำหลอ่ เย็น,Nước làm mát,အသအ်း သ ပ်းသညသ်ဲ့ ရ,,,Air pendingin,,,,,,,,,ទឹកដាក់ឱ្យដ្រជាក់ (ម ស ៊ីន),,,,,,,,,,,,,,8
ブレーキ液,Brake fluid(cid:9),brake fluid,,,,制动液、刹车油,,,,น ้ำมันเบรค,Chất lỏng phanh,ေရှိတအ် ရည်/ေရှိတဆ်,,,Minyak rem,,,,,,,,,លដ្បងដ្្រ ាំង,,,,,,,,,,,,,,8
燃料タンク,Fuel tank,fuel tank,,,,燃料罐,,,,ถังน ้ำมัน,Thùng nhiên liệu,သလာငစ် ာဆပ ု်း၊ သလာငစ် ာဆက န်,,,Tangki bahan bakar,,,,,,,,,ធ ងឥនធនៈ,,,,,,,,,,,,,,8
ファンベルト,Fan belt,fan belt,,,,风扇皮带,,,,สำยพำนพัดลมหมอ้ น ้ำ,Dây đai quạt,ပနက် ာကကြုံှိ်း,,,Tali kipas,,,,,,,,,ខ្សែពានកង្ហា រ,,,,,,,,,,,,,,8
空気圧,Air pressure,presyon ng hangin ng gulong,,,,气压,,,,แรงดันลมยำง,Áp suất khí,(ေ်း ၊ တာယာထရ ှိ ) သလဖှိအာ်း,,,Tekanan udara,,,,,,,,,សមា ធសយល់,,,,,,,,,,,,,,8
クラッチ,Clutch,clutch,,,,离合器,,,,คลัตช์,Khớp li hợp,(ကာ်း) ကလပ်,,,Alat pembuka kopling,,,,,,,,,អាំដ្ាយ,,,,,,,,,,,,,,8
急発進,Sudden start,biglaang pag-arangkada,,,,猛启动,,,,เหยยี บคันเรง่ ออกตัวทันที,Tiến đột ngột,ရုတတ် ရကအ် ခမန ် စထကွ ခ် င်း်,,,Gas mendadak,,,,,,,,,ចាប់ល្តើមលលឿន,,,,,,,,,,,,,,8
急ブレーキ,Sudden braking,biglaang pagpreno,,,,急刹车,,,,กดเบรคใหค้ วำมเร็วลดลง ทันที,Phanh đột ngột,ရုတတ် ရကအ် ခမန ် ေရှိတအ် ုပ်ခ င်း်,,,Rem mendadak,,,,,,,,,ចាប់ដ្្រ ាំងបន្ទា ន់,,,,,,,,,,,,,,8
アイドリング,Idling,idling,,,,怠速运转,,,,สภำวะของเครอื่ งยนตท์ ี่ หมนุ ดว้ ยอตั รำรอบต ำ่ สดุ เปลำ่ ๆ,"Chạy không tải, chạy cầm chừng",(အငဂ် င်) န္်းှိှု ၍ အလတွ ် လညသ် စခ င်း်,,,Keadaan saat mesin bekerja tetapi kendaraan (mobil) tidak bergerak.,,,,,,,,,បល្ឆេះលចាល,,,,,,,,,,,,,,8
走行,Running,pagtakbo,,,,行驶,,,,รถแลน่,Chạy,(ကာ်း) သခပ်းခ င်း် /သာွ ်းခ င်း်,,,Berjalan/Melaju,,,,,,,,,លបើកបរ,,,,,,,,,,,,,,8
旋回,Turning,rebolusyon,,,,旋转、回转,,,,หมนุ,Đi vòng tròn,ဆလ ု ညလ် ည ခ်ဲ့ င်း်,,,Putaran,,,,,,,,,បរ់,,,,,,,,,,,,,,8
安全ロック,Safety lock,safety lock,,,,安全锁止,,,,เซฟตลี้ ็อค,Khóa an toàn,အန္ရတ ာယက် င်း် သစရန၊် စကအ် စှိတအ် ပှိုင်း် မ ာ်း မသရွွဲ့ရ ာ်းန္ငှို သ် အာင ် ထမှိ ််း ြုံပ်သည ်ဲ့ ကရှိ ှိယာ,,,Alat pelindung bahaya,,,,,,,,,លោស វរថិភាេ,,,,,,,,,,,,,,8
安全支柱,Safety post,safety post,,,,安全支柱,,,,เสำค ้ำเพอื่ ควำมปลอดภัย,Cột chống an toàn,ခပြုံတက် မညအ်ဲ့ န္ရတ ာယက် ာ ကယွ သ် ရ်း သထာကတ် ငှို ်,,,Safety pillar (Tiang pengaman),,,,,,,,,សសរស វរថិភាេ,,,,,,,,,,,,,,8
補給（する）,Refueling (Refuel),pagpapa-gasolina / magpa-gasolina,,,,补充、补给,,,,(กำร)เตมิ,(danh từ) Sự bổ sung,ခဖညခ်ဲ့ င်း်,,,Suplai (Mensuplai),,,,,,,,,(ោរ)បខ្នថម,,,,,,,,,,,,,,8
駐車（する）,Parking (Park),pagparada / iparada,,,,停车,,,,(กำร)จอดรถ,(danh từ) Sự đỗ xe,(ပါကငမ် ာ) ကာ်းရပ်ခ င်း် ၊ ကာ်းထ်းှို ခ င်း်,,,Parkir (Memarkirkan),,,,,,,,,(ោរ)ចររថយនត,,,,,,,,,,,,,,8
歩行者,Pedestrian,pedestrian,,,,行人,,,,คนเดนิ เทำ้,Người đi bộ,လမ််းသာွ ်းလမ််းလာ,,,Pejalan kaki,,,,,,,,,អនកលថមើរល ើង,,,,,,,,,,,,,,8
車両,Vehicle,sasakyan,,,,车辆,,,,ยำนพำหนะมลี อ้ ทวี่ งิ่ บนบก,Xe,ေ်း တပ်ယာဥ်,,,Kendaraan,,,,,,,,,រថយនត,,,,,,,,,,,,,,8
死角,Vehicle blind spot,blind spot,,,,死角,,,,จดุ บอด,Góc chết,(ယာဥ်သမာင်း် ) မ ကက် ယွ ်,,,Titik buta (Posisi tidak terlihat),,,,,,,,,ដ្ ងុ លមើលមិនល ើញ,,,,,,,,,,,,,,8
斜面,Slope,dalisdis / slope,,,,坡,,,,"ทำงลำด, พนื้ ทลี่ ำดเอยี ง",Dốc,ကနု ်း် သစာင်း် ၊ ဆငသ် ခ သလျှာ,,,Lereng,,,,,,,,,ដ្មល,,,,,,,,,,,,,,8
転圧（する）,Roller compaction (compact with a roller),surface compaction / isagawa ang surface compaction,,,,碾压,,,,(กำร)บดอดั,(danh từ) Sự đầm nén,သအာကသ် ခ သခမသာ်းမ ာ်းကှို တလမှိ ်ဲ့တ်း ု စသညတ် ခှိုဖဲ့ င ်ဲ့ ဖှိ၍ သပှိ ်သည်း် သစခ င်း်,,,Giling (Menggiling),,,,,,,,,(ោរ)រលមៀល,,,,,,,,,,,,,,8
接触（する）,Contact (Contact),sagi / masagi,,,,碰撞,,,,การชน (ชน),"(danh từ) Sự va chạm, tiếp xúc",ထ(ှိ သည်),,,Tabrak (Menabrak),,,,,,,,,(ការ)ប ៉ះទង្គិច,,,,,,,,,,,,,,8
作動（する）,Activation (Activate),pag-andar /umandar,,,,启动、运作,,,,การท างาน (ท างาน),(danh từ) Sự kích hoạt,လပှု ်ရ ာ်းလညပ် တ်(သည်),,,Hidup (Menghidupkan),,,,,,,,,(ការ)ដំដ ើរការ,,,,,,,,,,,,,,8
整備（する）,Maintenance (Maintain),pag-maintain (maintenance) / i-maintain,,,,维护,,,,การซอ่ มบ ารงุ (ซอ่ มบ ารงุ ),(danh từ) Sự bảo dưỡng,ြှ အဆငခ်ဲ့မငတ်ဲ့ င်(သည်),,,Perbaikan (Memperbaiki),,,,,,,,,(ការ)ដរៀបចំ ថែសំរលួ,,,,,,,,,,,,,,8
点検（する）,Inspection (Inspect),inspeksyon / inspeksyunin,,,,检查,,,,การตรวจเช็ค (ตรวจเช็ค),(danh từ) Kiểm tra,စစ်သဆ်း(သည်),,,Periksa (Memeriksa),,,,,,,,,(ការ)ត្រួរពិនិរយ,,,,,,,,,,,,,,8
動かす,Operate,ipaandar,,,,运作、操作,,,,เดนิ เครอื่ ง,Vận hành,သရ ွဲ့သည၊်လပှု ်ရ ာ်းသစသည်,,,Menggerakkan,,,,,,,,,បត រូកថនែង្,,,,,,,,,,,,,,8
運転（する）,Operation (Operate),pagmamaneho / magmaneho,,,,驾驶、操作,,,,การขับ (ขับ),"(danh từ) Vận hành, lái",သမာင်း် န္င ်(သည်),,,Kemudi (Mengemudi),,,,,,,,,(ការ)ដបើកបរ,,,,,,,,,,,,,,8
測る,Measure,sukatin,,,,测量,,,,วัด,Đo,တငှို ်း် သည်,,,Mengukur,,,,,,,,,វាស់,,,,,,,,,,,,,,8
操作（する）,Operation (Operate),operasyon / mag-operate,,,,操作,,,,การควบคมุ การท างาน (ควบคมุ การท างาน),(danh từ) Sự điều khiển,သမာင်း် (သည်),,,Operasi (Mengoperasikan),,,,,,,,,(ការ)ត្បរិបរតិការ,,,,,,,,,,,,,,8
停止（する）,Suspension (Suspend),pag-tigil / itigil,,,,停止,,,,"การหยดุ (หยดุ ) , การจอด (จอด)","(danh từ) Sự dừng, ngừng",ရပ်(သည်),,,Henti (Menghentikan),,,,,,,,,(ការ)ឈប់,,,,,,,,,,,,,,8
切る,Turn off / Cut(cid:9),"patayin, putulin",,,,关闭、切割,,,,ตัด,"Tắt, cắt",ခဖတသ် ည၊်ရပ်သစသည်,,,Memotong,,,,,,,,,ការ់ ឬ ​ ពនែរ់,,,,,,,,,,,,,,8
回す,Turn,paikutin,,,,转,,,,หมนุ,"Quay, xoay",လည ပ်ဲ့ တသ် ည၊်ခဖနသ် ဲ့ ဝသည်,,,Memutar,,,,,,,,,បង្វិល,,,,,,,,,,,,,,8
押す,Press,pindutin,,,,按,,,,"ผลัก, ดัน","Ấn, bấm",တနွ ်း် သည၊် ( လတု ်)န္ပှိ ်သည်,,,Mendorong,,,,,,,,,រ ញ,,,,,,,,,,,,,,8
集める,Gather,kolektahin,,,,收集,,,,รวบรวม,"Tập trung, gom",စုစည်း် သည်,,,Mengumpulkan,,,,,,,,,ត្បមូល,,,,,,,,,,,,,,8
触る,Touch,hawakan,,,,触碰,,,,"แตะตอ้ ง, สมั ผัส","Chạm, sờ",(လကန္် င ်ဲ့)ထသှိ ည၊်ကငှို သ် ည်,,,Menyentuh,,,,,,,,,ស្ទា ប,,,,,,,,,,,,,,8
縛る,Tie,bigkisin,,,,束缚、捆绑,,,,"มัด, รัด","Bó, buộc",ညသ် န္ာ ငသ် ည်,,,Mengikat,,,,,,,,,ចង្ជាប់,,,,,,,,,,,,,,8
揃える,Make uniform,tipunin,,,,对齐、使……整齐,,,,"ท ำใหเ้ทำ่ กนั , จัดใหเ้สมอ",Xếp đều,ြှ ညသှိ ည်,,,Menyamaratakan,,,,,,,,,រត្មមឹ,,,,,,,,,,,,,,8
結ぶ,Tie,itali,,,,捆绑、连接、系,,,,"ผกู , มัด","Nối, buộc",ထ်း ု သည၊် ညသ် ည်,,,Mengikat,,,,,,,,,ចង្,,,,,,,,,,,,,,8
しゃがむ,Squat,yumukyok / squat,,,,蹲,,,,นั่งยองๆ,Ngồi xổm,သဆာငသ်ဲ့ ကကာငထ်ဲ့ ငှို သ် ည်,,,Berjongkok,,,,,,,,,អង្គ ុយ(ដចាង្ដោង្),,,,,,,,,,,,,,8
調整（する）,Adjustment (Adjust),pag-adjust / i-adjust,,,,调整,,,,การปรับ (ปรับ),(danh từ) Sự điều chỉnh,ြှ ကကှို ည် ှိ(သည်),,,Penyesuaian (Menyesuaikan),,,,,,,,,(ការ)ថកសំរលួ,,,,,,,,,,,,,,8
閉じる,Close,pagsara / isara,,,,关、关闭,,,,ปิด,Đóng,ပှိတသ် ည်,,,Menutup,,,,,,,,,បិទ,,,,,,,,,,,,,,8
取り出す,Take out,ilabas / take out,,,,取出,,,,เอาออก,Lấy ra,ထတု ယ် သူ ည်,,,Mengeluarkan,,,,,,,,,យកចេញ,,,,,,,,,,,,,,8
戻す,Put back,ibalik,,,,放回,,,,กลับคนื,Để lại chỗ cũ,ခပနထ် ာ်းသည်,,,Mengembalikan,,,,,,,,,ដាក់ចៅវញិ,,,,,,,,,,,,,,8
仕上げる,Finish,tapusin,,,,做完,,,,ท าใหเ้สร็จ,Hoàn thiện,သနာကဆ် ်း ု ပှိတအ် သ ာသပ်သည်,,,Menyelesaikan,,,,,,,,,ច្វើចោយច ើយ,,,,,,,,,,,,,,8
折れる,Break,mabali,,,,折断,,,,หัก,Gẫy,က ှိြုံ်းသည်,,,Patah,,,,,,,,,បាក់,,,,,,,,,,,,,,8
欠ける,Chip,magkulang,,,,欠缺、有缺口,,,,บนิ่,"Mẻ, khuyết, thiếu",ပ ဲ့သည်,,,Sumbing (Patah),,,,,,,,,ដែប,,,,,,,,,,,,,,8
近づく,Get close,lumapit,,,,靠近,,,,เขา้ ใกล้,Đến gần,အနာ်းကပ်လာသည်,,,Mendekat,,,,,,,,,ចៅជិត,,,,,,,,,,,,,,8
電源を入れる,Turn on the power,i-on,,,,打开电源,,,,เปิดเครอื่ ง,Bật nguồn điện,လျှပ်စစ် လတု က် ဖှို ွငသ်ဲ့ ည်,,,Menghidupkan listrik,,,,,,,,,ចបើកថាមពលច្ែើង,,,,,,,,,,,,,,8
電源を落とす,Turn off the power,i-off,,,,关闭电源,,,,ตัดไฟ,Tắt nguồn điện,လျှပ်စစ် လတု က် ပှို ှိတသ် ည်,,,Mematikan listrik,,,,,,,,,បិទថាមពលច្ែើង,,,,,,,,,,,,,,8
スイッチを切る,Switch off,i-off ang switch,,,,关闭开关,,,,ปิดสวติ ช์,Tắt công tắc,လတု ပ် ှိတသ် ည်,,,Mematikan saklar,,,,,,,,,បិទកុងតាក់,,,,,,,,,,,,,,8
固定（する）,Fixing (Fix),pirmi / ipirmi,,,,固定,,,,การยดึ ใหค้ งท ี่ (ยดึ ใหค้ งท)ี่,(danh từ) Sự cố định,( ငှို မ် ာသအာင်)တပ်ဆင(် သည်),,,Fiksasi (Menguatkan),,,,,,,,,(ការ)េងភ្ជា ប់,,,,,,,,,,,,,,8
ゆるめる,Loosen,luwagin,,,,拧松,,,,คลาย,Nới lỏng,(သ ာငလ် ညသ် အာင်) သလျှာသဲ့ ည်,,,Mengendurkan,,,,,,,,,បនធ រូ,,,,,,,,,,,,,,8
伸ばす,Stretch,pahabain / extend,,,,延展,,,,ยดื,"Cán, kéo dài",ဆဆွ နသ် ဲ့ ည်,,,Memanjangkan,,,,,,,,,ពនល តូ,,,,,,,,,,,,,,8
外す,Remove,tanggalin,,,,取下,,,,ถอดออก,"Tháo, gỡ ra",ဖယရ် ာ်းသည်,,,Melepas,,,,,,,,,ចដាោះ,,,,,,,,,,,,,,8
曲げる,Bend,baluktutin,,,,弯曲,,,,งอ,Uốn,သက်းွ သည်,,,Membengkokkan,,,,,,,,,ពត់,,,,,,,,,,,,,,8
出す,Put out,ilabas,,,,取出、拿出,,,,"ยนื่ , สง่",Lấy ra,(အခပင်)ထတု သ် ည်,,,Mengeluarkan,,,,,,,,,បចចេញ,,,,,,,,,,,,,,8
乾かす,Dry,patuyuin,,,,干燥,,,,ท าใหแ้ หง้,"Làm khô, sấy khô",အသခ ာက ် သ ည်,,,Mengeringkan,,,,,,,,,សមងតួ,,,,,,,,,,,,,,8
数える,Count,bilangin,,,,数,,,,นับ,"Chỉ bảo, dạy",သရတကွ သ် ည်,,,Menghitung,,,,,,,,,រាប់,,,,,,,,,,,,,,8
運ぶ,Carry,dalhin,,,,搬、搬运,,,,ขน,Vận chuyển,သယသ် ဆာငသ် ည်,,,Membawa,,,,,,,,,ចលើក,,,,,,,,,,,,,,8
積む,Load,itambak,,,,装货,,,,วางซอ้ น,"Xếp, chất",ပ ုသည်,,,Menumpuk,,,,,,,,,លទកុ,,,,,,,,,,,,,,8
下ろす,Unload,ibaba,,,,卸货,,,,เอาลง,"Dỡ xuống, hạ xuống",သအာက ် သည်,,,Menurunkan,,,,,,,,,ដាក់េុោះ,,,,,,,,,,,,,,8
離れる,Go away,lumayo,,,,离开,,,,ออกหา่ ง,"Rời xa, tránh",စွန ် ဲ့ ာွ သည၊်သရ ာငတ် မှိ ််းသည်,,,Menjauhi,,,,,,,,,ឃ្លែ តចេញ,,,,,,,,,,,,,,8
位置,Position,posisyon,,,,位置,,,,ต ำแหน่ง,Vị trí,သနရာ,,,Posisi,,,,,,,,,ទីតាំង,,,,,,,,,,,,,,8
寸法,Dimensions,dimensyon,,,,尺寸,,,,ขนำด,Kích thước,အတငှို ်း် အထာွ,,,Ukuran,,,,,,,,,ខ្នា ត,,,,,,,,,,,,,,8
測定（する）,Measurement (Measure),pagsukat / magsukat,,,,测量,,,,การวดั (วดั ),(danh từ) Sự đo đạc,တငှို ်း် တာ(သည)်,,,Pengukuran (Mengukur),,,,,,,,,(ការ)វាស់ វែង,,,,,,,,,,,,,,8
計測（する）,Measurement (Measure),pagsukat / magsukat,,,,计测,,,,การวดั (วดั ),(danh từ) Sự đo lường,ခ ငတ် ယွ တ် ငှို ်း် တာ(သည)်,,,Takar (Menakar),,,,,,,,,(ការ)វាស់,,,,,,,,,,,,,,8
計測器,Measuring instrument,instrumentong pangsukat,,,,计测器,,,,"อปุ กรณ์วดั , เกจวดั",Máy đo lường,ခ ငတ် ယွ တ် ငှို ်း် တာသည ်ဲ့ ကရှိ ှိယာ,,,Alat ukur,,,,,,,,,នាឡិកាវាស់សទង់,,,,,,,,,,,,,,8
温度,Temperature(cid:9),temperatura,,,,温度,,,,อณุ หภมู ิ,Nhiệt độ,အပူ ှိန်,,,Suhu,,,,,,,,,សីតុណ្ហភាព,,,,,,,,,,,,,,8
高さ,Height,taas,,,,高度,,,,ควำมสงู,Chiều cao,အခမင်ဲ့,,,Ketinggian,,,,,,,,,កាំពស់,,,,,,,,,,,,,,8
長さ,Length,haba,,,,长度,,,,ควำมยำว,Chiều dài,အရ ည၊်အလ ာ်း,,,Panjang,,,,,,,,,ប្រវែង,,,,,,,,,,,,,,8
重さ,Weight(cid:9),bigat,,,,重量,,,,น ้ำหนัก,Cân nặng,အသလ်း ှိန်,,,Berat,,,,,,,,,ទម្ងន់,,,,,,,,,,,,,,8
厚さ,Thickness,kapal,,,,厚度,,,,ควำมหนำ,Chiều dày,အထူ,,,Ketebalan,,,,,,,,,កប្ាស,,,,,,,,,,,,,,8
硬さ,Hardness,tigas,,,,硬度,,,,ควำมแข็ง,Độ cứng,အမာ,,,Kekerasan,,,,,,,,,ភាពរងឹ,,,,,,,,,,,,,,8
深さ,Depth,lalim,,,,深度,,,,ควำมลกึ,Độ sâu,အနက်,,,Kedalaman,,,,,,,,,ជម្ប្ៅ,,,,,,,,,,,,,,8
表面,Surface,ibabaw (surface),,,,表面,,,,พนื้ ผวิ,Bề mặt,မ ကန္် ာ ခပင်,,,Permukaan,,,,,,,,,ផ្ទទខ្នងម្ុខ,,,,,,,,,,,,,,8
すきま,Clearance,siwang,,,,间隙,,,,ชอ่ งวำ่ งแคบๆ,Khe hở,ကကာ်းလပ်သနသညသ်ဲ့ နရာ,,,Celah,,,,,,,,,ចម្នាល ោះ,,,,,,,,,,,,,,8
中心,Center,sentro,,,,中心,,,,ศนู ยก์ ลำง,"Trung tâm, chính giữa",ဗဟ ှို က်,,,Pusat/Tengah,,,,,,,,,កណ្តា ល,,,,,,,,,,,,,,8
値,Value,halaga (numero),,,,值,,,,คำ่,Giá trị,တနဖ် ှို်း,,,Nilai,,,,,,,,,តផ្ម្ល,,,,,,,,,,,,,,8
安定（する）,Stable (Stabilize),katatagan / itatag,,,,稳定,,,,"ความเสถยี ร (เสถยี ร), ความ มนั่ คง (มนั่ คง)",(danh từ) Sự ổn định,တညပ်ငမှိ ်(သည)်,,,Stabil (Menstabilkan),,,,,,,,,(ការាន)ម្សេរភាព,,,,,,,,,,,,,,8
大きさ,Size,laki (size),,,,大小,,,,ขนำด,Độ lớn,အရွယအ် စာ်း,,,Besarnya,,,,,,,,,ទាំហាំ,,,,,,,,,,,,,,8
数,Number(cid:9),bilang,,,,数量,,,,จ ำนวน,Số lượng,အသရအတကွ ်,,,Banyak/Jumlah,,,,,,,,,ចាំនួន,,,,,,,,,,,,,,8
誤差,Error,pagkakamali (error),,,,误差,,,,ควำมคลำดเคลอื่ น,Sai số,အလ၊ွ အမ ာ်း,,,Selisih,,,,,,,,,ភាពខុសគ្នា,,,,,,,,,,,,,,8
