番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
3,結束工具,けっそくこうぐ,Tying tool,"Also called ""hooker""","け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",英語
4,鉄筋切断機,てっきんせつだんき,Rebar cutter,,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",英語
5,鉄筋曲げ加工機,てっきんまげかこうき,Rebar bending machine,,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",英語
6,フック,ふっく,Hook,,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",英語
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,Safety helmet (Helmet),,"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",英語
8,アンカー,あんかー,Anchor,"An abbreviation of a ""joint bar (sashikin) anchor."" It is also called a ""joint bar.""","せ  っ  ち
アンカーを設置する",英語
9,加工場,かこうば,Workshop,,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",英語
10,スペーサ―,すぺーさー,Spacer,,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,ドーナツ,どーなつ,Donut spacer,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",英語
12,加工配筋図,かこうはいきんず,Bar bending and arrangement schedule,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",英語
13,配筋詳細図,はいきんしょうさいず,Detailed bar arrangement schedule,,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",英語
14,開口補強筋,かいこうほきょうきん,Opening reinforcement bar,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",英語
15,幅止め筋,はばどめきん,Spreader bar,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける",英語
16,差筋,さしきん,Expansion joint,,"さ し き ん
コンクリートに差筋をする",英語
17,柱主筋,はしらしゅきん,Longitudinal bar,,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",英語
18,柱配筋,はしらはいきん,Reinforced column,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",英語
19,スラブ筋,すらぶきん,Reinforced slab,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",英語
20,ベース筋,べーすきん,Footing bottom rebar,,"き ん        く  み  た
ベース筋を組立てる",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
21,帯筋（フープ）,おびきん（ふーぷ）,Hoop,,"おびき ん        く  み  た
帯筋を組立てる",英語
22,下端筋,したばきん,Lower rebar,,"し  た  ば き ん        く  み  た
下端筋を組立てる",英語
23,上端筋,うわばきん,Upper rebar,,"う  わ  ば き ん        く  み  た
上端筋を組立てる",英語
24,主筋,しゅきん,Main rebar,,"し ゅ き ん        く  み  た
主筋を組立てる",英語
25,あばら筋,あばらきん,Stirrup,,"き ん        く  み  た
あばら筋を組立てる",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,はかま筋,はかまきん,Footing top bar,,"き ん        く  み  た
はかま筋を組立てる",英語
2,縦筋,たてきん,Vertical reinforcement,,"た て き ん        く  み  た
縦筋を組立てる",英語
3,下筋,したきん,Bottom reinforcement,,"し た き ん        く  み  た
下筋を組立てる",英語
4,横筋,よこきん,Horizontal reinforcement,,"よ こ き ん        く  み  た
横筋を組立てる",英語
5,腹筋,はらきん,Web bar,,"は ら き ん        く  み  た
腹筋を組立てる",英語
6,配力筋,はいりょくきん,Distribution bar,,"はいりょくきん        く  み  た
配力筋を組立てる",英語
7,上筋,うわきん,Top reinforcement,,"う わ き ん        く  み  た
上筋を組立てる",英語
8,スパイラル筋,すぱいらるきん,Spiral reinforcement,,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける",英語
9,鉄筋径,てっきんけい,Rebar diameter,,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである",英語
10,かぶり厚さ,かぶりあつさ,Cover concrete thickness,,"あ つ              か く に ん
かぶり厚さを確認する",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,角度,かくど,Angle,,"か  く  ど        か く に ん
角度を確認する",英語
12,シングル,しんぐる,Single reinforcement,,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる",英語
13,ダブル,だぶる,Double reinforcement,,"は い き ん
スラブはダブル配筋とする",英語
14,千鳥結束,ちどりけっそく,Staggered binding,,"て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する",英語
15,切断寸法,せつだんすんぽう,Cutting dimensions,,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する",英語
16,加工寸法,かこうすんぽう,Machining dimensions,,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する",英語
17,重ね継手,かさねつぎて,Lap splicing,,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする",英語
18,圧接継手,あっせつつぎて,Stud joint,,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする",英語
19,開口部,かいこうぶ,Opening,,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける",英語
20,溶接金網,ようせつかなあみ,Welded wire mesh,,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
21,搬出,はんしゅつ,Carrying out,,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する",英語
22,搬入,はんにゅう,Carrying into,,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する",英語
23,基礎,きそ,Foundation,The base of a building,"き     そ          は い き ん
基礎の配筋をおこなう",英語
24,機械式継手,きかいしきつぎて,Mechanical coupler,,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする",英語
25,配筋検査,はいきんけんさ,Bar arrangement inspection,,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,トラクタ,とらくた,Tractor,"A tractor with work equipment (attachment) is called a bulldozer, tractor shovel, and others.",,英語
2,ブルドーザ,ぶるどーざ,Bulldozer,A machine made of a tractor equipped with a blade,,英語
3,トラクタショベル,とらくたしょべる,Tractor shovel,A machine made of a tractor equipped with a bucket. There are crawler type and wheel type.,,英語
4,ホイルローダ,ほいるろーだ,Wheel loader,Wheel type tractor shovel (four-wheel drive),,英語
5,ダンプトラック,だんぷとらっく,Dump truck,,,英語
6,油圧ショベル,ゆあつしょべる,Hydraulic excavator,A machine equipped with a shovel that can perform various tasks by replacing work equipment (attachment),,英語
7,バックホウ,ばっくほう,Backhoe,The most common type of hydraulic shovel and used for belowground excavation,,英語
8,ローディングショベル,ろーでぃんぐしょべる,Loading Excavator,"A hydraulic shovel used to load earth, sand, or rocks on the ground",,英語
9,ローラ,ろーら,Roller,,,英語
10,バケット,ばけっと,Bucket,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
11,ブーム,ぶーむ,Boom,,,英語
12,アーム,あーむ,Arm,,,英語
13,ブレード（排土板）,ぶれーど（はいどばん）,Blade (Soil removal plate),,,英語
14,タイヤ,たいや,Tire,,,英語
15,クローラ,くろーら,Crawler,,,英語
16,キー（鍵）,きー（かぎ）,Key,,"く る ま   か ぎ
車の鍵",英語
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",Work equipment (Attachment),,,英語
18,エンジン,えんじん,Engine,,"き
エンジンをかける、エンジンを切る",英語
19,ディーゼルエンジン,でぃーぜるえんじん,Diesel engine,,,英語
20,エンジンオイル,えんじんおいる,Engine oil,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）","Alternator
(Rechargeable generator)",,,英語
22,バッテリ,ばってり,Battery,,,英語
23,燃料,ねんりょう,Fuel,,,英語
24,軽油,けいゆ,Light oil,,,英語
25,ブレーキ,ぶれーき,Brake,,"ふ
ブレーキを踏む",英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,油圧シリンダ,ゆあつしりんだ,Hydraulic cylinder,,,英語
2,油圧モータ,ゆあつもーた,Hydraulic motor,,,英語
3,油圧ポンプ,ゆあつぽんぷ,Hydraulic pump,,,英語
4,水漏れ,みずもれ,Water leakage,,,英語
5,油漏れ,あぶらもれ,Oil leak,,,英語
6,冷却水,れいきゃくすい,Cooling water,,,英語
7,ブレーキ液,ぶれーきえき,Brake fluid,,,英語
